occ1990,foreign_empl,native_empl,foreign_howo,native_howo,manual_f,manual_n,language_f,language_n,year,occupation,manual,limbs,strength,body,language,oral,written,cognitive,perception,visual,hearing,vocal
204,452,4020,610683,6364020,404015.01683044434,4210301.688964844,146563.9171409607,1527364.7706832886,2000,Dental hygenists,0.6615789532661438,0.734000027179718,0.5080000162124634,0.6725000143051147,0.23999999463558197,0.25,0.23000000417232513,0.30666667222976685,0.4259999990463257,0.6142857074737549,0.31333333253860474,0.28999999165534973
205,3752,36296,6614417,63321024,3014781.6539611816,28861056.31450653,4878132.540771484,46699255.25893402,2000,Health record tech specialists,0.4557894766330719,0.4269999861717224,0.492000013589859,0.48249998688697815,0.737500011920929,0.7099999785423279,0.7649999856948853,0.5183333158493042,0.4620000123977661,0.3942857086658478,0.4933333396911621,0.6499999761581421
206,1837,22645,3174548,43234670,2372556.8428344727,32312225.900360107,1833301.4294433591,24968021.412727356,2000,Radiologic tech specialists,0.7473683953285217,0.8169999718666077,0.6700000166893005,0.6700000166893005,0.5774999856948853,0.5799999833106995,0.574999988079071,0.596666693687439,0.7559999823570251,0.727142870426178,0.6266666650772095,0.6600000262260437
207,17639,124138,31739044,219146146,20029006.56399536,138292747.5550499,24439063.321380615,168742528.75102615,2000,Licensed practical nurses,0.6310526132583618,0.6079999804496765,0.6179999709129333,0.7049999833106995,0.7699999809265137,0.8700000047683716,0.6700000166893005,0.7416666746139526,0.6959999799728394,0.6871428489685059,0.7699999809265137,0.6650000214576721
208,4228,51440,7669709,104500073,5455336.536376953,74329165.2892456,4967350.606811523,67680338.32819366,2000,"Health technologists and technicians, n.e.c.",0.7112833857536316,0.7268946766853333,0.6743974089622498,0.7183628082275391,0.6476582884788513,0.7648301124572754,0.5304864645004272,0.6405822038650513,0.6947660446166992,0.7137514352798462,0.7457663416862488,0.5961920022964478
214,19662,142856,36085574,289111273,19674717.054656982,157630373.53141403,16867893.721862793,135142597.92061043,2000,"Engineering technicians, n.e.c.",0.5452238917350769,0.6203694343566895,0.45925238728523254,0.4648244082927704,0.46744146943092346,0.3432004153728485,0.5916825532913208,0.6596884727478027,0.671999990940094,0.7614285945892334,0.6432089805603027,0.33682146668434143
217,3833,33673,7080287,66398564,2638338.5260620117,24742201.77002716,4159668.472961426,39009155.08716965,2000,Drafters,0.37263157963752747,0.4440000057220459,0.29600000381469727,0.28999999165534973,0.5874999761581421,0.48500001430511475,0.6899999976158142,0.6941666603088379,0.6660000085830688,0.6700000166893005,0.3733333349227905,0.3400000035762787
218,1573,31336,2906918,60391319,1612947.0660705566,33509029.540420532,1042370.8691558838,21655289.719924927,2000,"Surveyors, cartographers, mapping scientists and technicians",0.5548650026321411,0.6492068767547607,0.43416914343833923,0.46988001465797424,0.35858282446861267,0.21168570220470428,0.5054799914360046,0.6725990176200867,0.6811314225196838,0.8290530443191528,0.691607654094696,0.25445714592933655
223,2361,14048,3905863,26847887,2163958.529785156,14874488.498306274,1635378.7077026367,11241168.19910431,2000,Biological technicians,0.5540282726287842,0.603562593460083,0.5118350386619568,0.4829341471195221,0.41869843006134033,0.2992148995399475,0.5381819605827332,0.6156204342842102,0.6601164937019348,0.7072617411613464,0.6344910860061646,0.2950831949710846
224,2664,27680,5216306,56329401,2619134.569580078,28283287.393650055,2686397.5290527344,29009640.807935715,2000,Chemical technicians,0.5021052360534668,0.5479999780654907,0.4580000042915344,0.4424999952316284,0.5149999856948853,0.3050000071525574,0.7250000238418579,0.6458333134651184,0.5419999957084656,0.5157142877578735,0.54666668176651,0.28999999165534973
